City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,18.220000000000027,41,7,6.09,ZA,1691102693
1,farafangana,-22.8167,47.8333,19.760000000000048,69,97,5.09,MG,1691102694
2,mareeba,-17.0,145.4333,19.689999999999998,84,53,3.92,AU,1691102694
3,hermanus,-34.4187,19.2345,16.160000000000025,62,100,2.29,ZA,1691102695
4,tuktoyaktuk,69.4541,-133.0374,14.0,82,75,7.72,CA,1691102696
5,cape town,-33.9258,18.4232,18.230000000000018,61,0,4.63,ZA,1691102696
6,tucupita,9.0622,-62.051,28.860000000000014,64,16,2.65,VE,1691102696
7,abu dhabi,24.4667,54.3667,36.08000000000004,73,0,1.54,AE,1691102697
8,rikitea,-23.1203,-134.9692,21.560000000000002,87,71,4.92,PF,1691102697
9,mataura,-46.1927,168.8643,11.930000000000007,72,100,3.76,NZ,1691102698
10,guiratinga,-16.3494,-53.7583,24.850000000000023,27,0,1.74,BR,1691102698
11,hobart,-42.8794,147.3294,12.370000000000005,89,75,2.57,AU,1691102699
12,jamestown,42.097,-79.2353,26.80000000000001,50,0,4.63,US,1691102682
13,hovd,48.0056,91.6419,17.340000000000032,53,4,1.88,MN,1691102699
14,puerto ayora,-0.7393,-90.3518,29.980000000000018,91,53,2.24,EC,1691102700
15,sitka,57.0531,-135.33,18.939999999999998,72,20,3.09,US,1691102700
16,zhigansk,66.7697,123.3711,11.330000000000041,76,96,4.36,RU,1691102700
17,simdega,22.6167,84.5167,21.939999999999998,97,100,4.69,IN,1691102701
18,upernavik,72.7868,-56.1549,3.140000000000043,92,89,3.82,GL,1691102701
19,arraial do cabo,-22.9661,-42.0278,20.920000000000016,83,0,2.06,BR,1691102436
20,torbay,47.6666,-52.7314,20.430000000000007,56,75,4.12,CA,1691102702
21,barrow,71.2906,-156.7887,6.010000000000048,81,100,3.09,US,1691102703
22,husavik,66.0449,-17.3389,8.0,86,21,0.78,IS,1691102703
23,raudeberg,61.9875,5.1352,13.370000000000005,82,98,7.42,NO,1691102704
24,krasnyy klyuch,55.3863,56.6529,18.480000000000018,76,70,0.54,RU,1691102705
25,otane,-39.8833,176.6333,12.230000000000018,64,47,5.05,NZ,1691102706
26,ushuaia,-54.8,-68.3,0.8100000000000023,86,100,7.2,AR,1691102707
27,srednekolymsk,67.45,153.6833,12.420000000000016,52,32,4.82,RU,1691102708
28,gerede,40.8008,32.1969,15.710000000000036,66,0,1.44,TR,1691102709
29,ankazoabo,-22.2833,44.5167,15.870000000000005,67,16,3.64,MG,1691102709
30,busselton,-33.65,115.3333,7.860000000000014,78,38,3.22,AU,1691102711
31,diu,20.7141,70.9822,26.210000000000036,88,100,8.39,IN,1691102711
32,feira de santana,-12.2667,-38.9667,19.160000000000025,91,76,2.03,BR,1691102712
33,hilo,19.7297,-155.09,31.82000000000005,77,0,4.63,US,1691102704
34,qaanaaq,77.484,-69.3632,3.0100000000000477,89,92,0.83,GL,1691102713
35,airai,-8.9266,125.4092,15.180000000000007,77,28,1.49,TL,1691102714
36,rawson,-43.3002,-65.1023,10.110000000000014,32,0,10.37,AR,1691102715
37,tezu,27.9167,96.1667,24.689999999999998,89,78,0.91,IN,1691102716
38,olga,43.7444,135.2892,16.78000000000003,97,100,2.28,RU,1691102717
39,nyurba,63.2842,118.3319,15.600000000000023,79,98,3.56,RU,1691102718
40,luderitz,-26.6481,15.1594,15.460000000000036,49,98,1.82,NA,1691102718
41,namibe,-15.1961,12.1522,17.360000000000014,90,47,4.83,AO,1691102719
42,san policarpo,12.1791,125.5072,27.100000000000023,79,87,3.21,PH,1691102720
43,vestmanna,62.1564,-7.1664,7.510000000000048,87,100,6.69,FO,1691102721
44,hohhot,40.8106,111.6522,20.160000000000025,94,40,1.0,CN,1691102721
45,khatanga,71.9667,102.5,9.060000000000002,62,50,1.46,RU,1691102722
46,bonanza,14.0289,-84.591,26.910000000000025,89,69,0.88,NI,1691102723
47,general pico,-35.6566,-63.7568,10.410000000000025,36,67,3.36,AR,1691102723
48,bluff,-46.6,168.3333,12.110000000000014,81,100,8.94,NZ,1691102724
49,hasaki,35.7333,140.8333,30.220000000000027,79,59,5.04,JP,1691102724
50,pleven,43.4167,24.6167,25.970000000000027,61,20,2.06,BG,1691102726
51,puerto leguizamo,-0.1934,-74.7819,23.54000000000002,88,88,0.39,CO,1691102727
52,tuatapere,-46.1333,167.6833,10.840000000000032,84,96,2.53,NZ,1691102728
53,port lincoln,-34.7333,135.8667,11.970000000000027,76,89,7.22,AU,1691102692
54,atuona,-9.8,-139.0333,25.970000000000027,70,97,8.21,PF,1691102730
55,butaritari,3.0707,172.7902,28.49000000000001,72,100,3.07,KI,1691102731
56,butembo,0.15,29.2833,15.240000000000009,73,93,1.32,CD,1691102731
57,ponta do sol,32.6667,-17.1,24.28000000000003,79,34,3.11,PT,1691102732
58,tiksi,71.6872,128.8694,3.1200000000000045,96,100,3.62,RU,1691102732
59,punta arenas,-53.15,-70.9167,2.0400000000000205,77,80,12.62,CL,1691102733
60,albany,42.6001,-73.9662,22.870000000000005,82,100,0.45,US,1691102531
61,bethel,41.3712,-73.414,23.900000000000034,66,96,0.89,US,1691102453
62,port hedland,-20.3167,118.5667,20.03000000000003,100,100,2.57,AU,1691102734
63,kemlya,54.6963,45.2424,19.75,81,88,1.05,RU,1691102734
64,paamiut,61.994,-49.6678,4.8799999999999955,93,27,6.96,GL,1691102734
65,kapaa,22.0752,-159.319,31.180000000000007,74,20,6.69,US,1691102650
66,mar del plata,-38.0023,-57.5575,10.53000000000003,47,0,4.12,AR,1691102735
67,kruisfontein,-34.0033,24.7314,13.82000000000005,40,4,4.76,ZA,1691102735
68,dicabisagan,17.0818,122.4157,28.620000000000005,73,100,3.02,PH,1691102736
69,mecca,21.4267,39.8261,30.980000000000018,26,0,0.98,SA,1691102505
70,henties bay,-22.116,14.2845,12.25,90,66,2.1,NA,1691102737
71,bambous virieux,-20.3428,57.7575,22.140000000000043,78,40,4.63,MU,1691102737
72,yellowknife,62.456,-114.3525,22.29000000000002,49,75,3.09,CA,1691102213
73,mount gambier,-37.8333,140.7667,12.300000000000011,93,97,8.09,AU,1691102738
74,vanimo,-2.6741,141.3028,26.470000000000027,85,73,2.01,PG,1691102738
75,hithadhoo,-0.6,73.0833,27.620000000000005,77,50,3.64,MV,1691102739
76,tucurui,-3.7661,-49.6725,27.850000000000023,47,12,1.3,BR,1691102739
77,pevek,69.7008,170.3133,4.439999999999998,100,100,1.61,RU,1691102739
78,bredasdorp,-34.5322,20.0403,14.810000000000002,52,92,2.58,ZA,1691102740
79,mugumu,-1.85,34.7,16.120000000000005,65,93,1.92,TZ,1691102741
80,castro,-24.7911,-50.0119,14.879999999999995,59,1,0.59,BR,1691102741
81,deputatskiy,69.3,139.9,15.360000000000014,51,97,2.3,RU,1691102741
82,atocha,-20.9333,-66.2333,10.260000000000048,10,0,4.41,BO,1691102742
83,nanortalik,60.1432,-45.2371,6.020000000000039,95,100,2.94,GL,1691102743
84,korcula,42.9622,17.1369,26.07000000000005,80,0,6.02,HR,1691102744
85,kot addu,30.4692,70.9671,35.22000000000003,41,6,6.17,PK,1691102744
86,avarua,-21.2078,-159.775,23.03000000000003,83,75,5.66,CK,1691102745
87,thompson,55.7435,-97.8558,24.090000000000032,53,75,1.03,CA,1691102745
88,huilong,31.8111,121.655,28.850000000000023,90,1,5.57,CN,1691102746
89,kangaatsiaq,68.3065,-53.4641,4.100000000000023,88,86,6.37,GL,1691102746
90,dourbali,11.8091,15.8632,27.220000000000027,65,97,3.05,TD,1691102746
91,belyy yar,53.6039,91.3903,19.939999999999998,88,0,1.0,RU,1691102747
92,tommot,58.9564,126.2925,16.80000000000001,61,7,1.13,RU,1691102747
93,bulawayo,-20.15,28.5833,7.140000000000043,55,0,4.81,ZW,1691102748
94,sobolevo,54.4299,31.8996,16.78000000000003,81,18,3.43,RU,1691102749
95,aquiraz,-3.9014,-38.3911,27.32000000000005,86,35,4.68,BR,1691102749
96,rocha,-34.4833,-54.3333,9.5,56,100,2.28,UY,1691102750
97,riyadh,24.6877,46.7219,36.08000000000004,14,6,4.84,SA,1691102751
98,new norfolk,-42.7826,147.0587,12.180000000000007,76,100,1.25,AU,1691102752
99,georgetown,5.4112,100.3354,28.970000000000027,78,20,4.12,MY,1691102751
100,barra da estiva,-13.6261,-41.3269,19.02000000000004,59,35,1.03,BR,1691102753
101,nelson bay,-32.7167,152.15,13.890000000000043,89,65,0.89,AU,1691102753
102,hofn,64.2539,-15.2082,11.439999999999998,85,9,1.95,IS,1691102754
103,prince rupert,54.3161,-130.3201,19.05000000000001,83,0,4.12,CA,1691102637
104,linares,-35.85,-71.6,7.710000000000036,83,38,2.28,CL,1691102755
105,davila,18.4726,120.5763,27.99000000000001,88,100,12.9,PH,1691102755
106,tual,-5.6667,132.75,26.210000000000036,85,67,9.08,ID,1691102755
107,kokkola,63.8385,23.1307,15.520000000000039,95,40,1.54,FI,1691102756
108,souillac,-20.5167,57.5167,22.210000000000036,78,40,4.63,MU,1691102757
109,plettenberg bay,-34.0527,23.3716,21.04000000000002,39,12,5.32,ZA,1691102580
110,los llanos de aridane,28.6585,-17.9182,21.860000000000014,92,0,6.17,ES,1691102759
111,nishihara,26.1842,127.7558,28.03000000000003,92,100,14.4,JP,1691102759
112,ojinaga,29.5667,-104.4167,39.670000000000016,25,40,1.54,MX,1691102760
113,vila velha,-20.3297,-40.2925,22.970000000000027,89,0,1.54,BR,1691102761
114,yenagoa,4.9247,6.2642,23.170000000000016,90,75,1.75,NG,1691102761
115,puerto escondido,15.85,-97.0667,29.460000000000036,54,75,3.09,MX,1691102762
116,saint-philippe,-21.3585,55.7679,19.77000000000004,87,70,7.82,RE,1691102763
117,lorengau,-2.0226,147.2712,27.960000000000036,82,33,5.47,PG,1691102764
118,asosa,10.0667,34.5333,15.160000000000025,95,80,1.5,ET,1691102764
119,nikolskoye,59.7035,30.7861,19.939999999999998,94,100,2.74,RU,1691102765
120,broome,42.2506,-75.833,26.77000000000004,66,20,6.17,US,1691102765
121,esperance,-33.8667,121.9,11.120000000000005,58,95,1.33,AU,1691102765
122,ancud,-41.8697,-73.8203,6.400000000000034,78,23,2.86,CL,1691102766
123,makakilo city,21.3469,-158.0858,30.180000000000007,52,0,8.23,US,1691102767
124,iqaluit,63.7506,-68.5145,9.850000000000023,76,40,1.54,CA,1691102768
125,la crosse,43.8014,-91.2396,33.53000000000003,55,0,2.57,US,1691102771
126,keetmanshoop,-26.5833,18.1333,19.510000000000048,34,73,5.14,NA,1691102774
127,svetlyy,54.675,20.1347,17.03000000000003,77,15,7.85,RU,1691102774
128,shihezi,44.3,86.0333,25.77000000000004,32,1,2.47,CN,1691102775
129,palmer,42.1584,-72.3287,23.78000000000003,62,75,4.63,US,1691102775
130,koulikoro,14.0,-7.75,29.27000000000004,51,5,3.68,ML,1691102776
131,chokurdakh,70.6333,147.9167,9.990000000000009,66,100,3.03,RU,1691102776
132,isangel,-19.55,169.2667,21.060000000000002,94,100,8.23,VU,1691102777
133,goderich,43.7501,-81.7165,25.510000000000048,57,14,6.17,CA,1691102777
134,nara,34.6851,135.8049,30.54000000000002,50,28,0.55,JP,1691102778
135,adwa,14.1646,38.8955,15.82000000000005,90,81,0.99,ET,1691102779
136,honningsvag,70.9821,25.9704,19.860000000000014,73,75,3.09,NO,1691102780
137,coihaique,-45.5752,-72.0662,6.970000000000027,57,75,3.09,CL,1691102781
138,kaitangata,-46.2817,169.8464,11.510000000000048,69,93,5.02,NZ,1691102781
139,asyut,27.181,31.1837,31.100000000000023,20,0,2.36,EG,1691102782
140,narsaq,60.9167,-46.05,14.120000000000005,79,54,1.5,GL,1691102782
141,mansa,29.9833,75.3833,30.83000000000004,63,47,2.14,IN,1691102783
142,kunya,12.2233,8.5325,27.090000000000032,74,0,4.12,NG,1691102784
