City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pevek,69.7008,170.3133,278.74,88,100,0.36,RU,1690650521
1,avera,33.194,-82.5271,298.18,52,100,1.17,US,1690650522
2,grindavik,63.8424,-22.4338,287.41,72,75,4.63,IS,1690650522
3,albany,42.6001,-73.9662,303.47,69,43,0.45,US,1690650422
4,barrow,71.2906,-156.7887,281.16,93,100,4.12,US,1690650523
5,cockburn town,21.4612,-71.1419,301.8,79,99,8.18,TC,1690650430
6,walvis bay,-22.9575,14.5053,287.09,70,0,9.85,NA,1690650524
7,yerbogachen,61.2767,108.0108,290.91,94,90,3.03,RU,1690650525
8,saldanha,-33.0117,17.9442,284.76,72,71,10.14,ZA,1690650525
9,airai,-8.9266,125.4092,285.69,89,32,1.64,TL,1690650526
10,mataura,-46.1927,168.8643,277.86,95,52,1.35,NZ,1690650526
11,castro,-24.7911,-50.0119,286.98,87,100,2.82,BR,1690650527
12,deputatskiy,69.3,139.9,275.84,72,89,1.59,RU,1690650532
13,hermanus,-34.4187,19.2345,284.15,74,93,9.5,ZA,1690650533
14,hobart,-42.8794,147.3294,289.41,62,84,4.92,AU,1690650533
15,ushuaia,-54.8,-68.3,281.96,66,40,2.06,AR,1690650534
16,solnechnyy,50.7214,136.6319,290.45,95,100,1.11,RU,1690650534
17,roslavl,53.9528,32.8639,290.39,89,45,2.93,RU,1690650534
18,mitsamiouli,-11.3847,43.2844,298.39,71,6,2.08,KM,1690650535
19,ginir,7.1333,40.7,289.27,80,41,3.26,ET,1690650536
20,kahului,20.8947,-156.47,299.17,68,20,6.69,US,1690650536
21,yumen,40.2833,97.2,302.12,20,17,10.39,CN,1690650537
22,alvorada,-12.48,-49.1247,310.46,20,70,1.86,BR,1690650537
23,busselton,-33.65,115.3333,287.26,83,93,3.6,AU,1690650538
24,port blair,11.6667,92.75,302.17,84,75,6.17,IN,1690650539
25,butaritari,3.0707,172.7902,302.18,76,36,6.66,KI,1690650539
26,ponta do sol,32.6667,-17.1,300.5,71,0,0.83,PT,1690650540
27,asau,46.4333,26.4,299.66,60,85,2.41,RO,1690650540
28,rikitea,-23.1203,-134.9692,294.11,63,73,11.01,PF,1690650541
29,narragansett,41.4501,-71.4495,304.11,70,75,5.66,US,1690650541
30,hualmay,-11.0964,-77.6139,295.13,69,80,4.11,PE,1690650542
31,carnarvon,-24.8667,113.6333,289.78,69,0,6.72,AU,1690650542
32,maniwaki,46.3834,-75.966,289.57,58,100,2.19,CA,1690650543
33,grand gaube,-20.0064,57.6608,295.58,71,69,2.68,MU,1690650544
34,vila velha,-20.3297,-40.2925,298.12,78,20,8.75,BR,1690650384
35,vila franca do campo,37.7167,-25.4333,298.38,68,3,2.44,PT,1690650544
36,pangnirtung,66.1451,-65.7125,282.24,71,47,1.85,CA,1690650545
37,raudeberg,61.9875,5.1352,291.52,87,20,4.57,NO,1690650546
38,najran,17.4924,44.1277,307.66,13,89,3.23,SA,1690650546
39,antofagasta,-23.65,-70.4,291.75,62,7,2.81,CL,1690650319
40,thompson,55.7435,-97.8558,293.24,60,40,3.6,CA,1690650305
41,kapaa,22.0752,-159.319,300.33,85,100,6.69,US,1690650552
42,aksu,41.1231,80.2644,299.99,38,81,5.19,CN,1690650552
43,san quintin,30.4833,-115.95,297.32,65,52,3.08,MX,1690650553
44,oranjemund,-28.55,16.4333,285.1,74,37,5.07,NA,1690650553
45,port alfred,-33.5906,26.891,288.48,53,73,10.42,ZA,1690650267
46,polyarnyy,69.1989,33.4478,286.97,91,98,1.13,RU,1690650554
47,dongsheng,39.8161,109.9776,293.99,65,4,3.39,CN,1690650417
48,bardiyah,31.7561,25.0865,300.3,69,0,9.02,LY,1690650555
49,port lincoln,-34.7333,135.8667,286.7,81,0,7.24,AU,1690650556
50,atuona,-9.8,-139.0333,299.39,66,82,9.78,PF,1690650383
51,cabedelo,-6.9811,-34.8339,303.52,70,29,4.24,BR,1690650295
52,pisco,-13.7,-76.2167,294.18,73,40,3.6,PE,1690650557
53,bredasdorp,-34.5322,20.0403,283.36,79,99,7.4,ZA,1690650558
