City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,10.140000000000043,66,10,10.8,AU,1690726987
1,wembley,-31.9333,115.8,14.080000000000041,93,40,3.6,AU,1690726999
2,bethel,41.3712,-73.414,21.78000000000003,63,0,5.66,US,1690726772
3,eyl,7.9803,49.8164,26.930000000000007,71,88,12.1,SO,1690727000
4,balabac,7.9868,117.0645,27.879999999999995,76,63,1.64,PH,1690727000
5,pochutla,15.7432,-96.4661,24.900000000000034,87,100,1.29,MX,1690727001
6,kasongo-lunda,-6.4667,16.8167,38.57000000000005,18,5,1.18,CD,1690727001
7,bambous virieux,-20.3428,57.7575,23.140000000000043,64,40,2.57,MU,1690727002
8,chongwe,-15.3292,28.682,30.810000000000002,14,92,2.32,ZM,1690727002
9,avarua,-21.2078,-159.775,22.03000000000003,100,100,1.03,CK,1690727003
10,college,64.8569,-147.8028,16.439999999999998,87,75,2.57,US,1690726745
11,muros,42.7762,-9.0603,28.160000000000025,63,1,5.9,ES,1690727004
12,sokolka,53.4072,23.5023,24.010000000000048,47,97,5.2,PL,1690727005
13,punta arenas,-53.15,-70.9167,-1.0499999999999545,100,34,7.07,CL,1690727006
14,arrifes,37.7667,-25.7,23.140000000000043,83,20,7.2,PT,1690727006
15,rikitea,-23.1203,-134.9692,20.620000000000005,65,66,10.94,PF,1690726730
16,mataura,-46.1927,168.8643,10.270000000000039,95,19,1.91,NZ,1690727007
17,puerto ayora,-0.7393,-90.3518,26.980000000000018,89,55,1.79,EC,1690727007
18,geraldton,-28.7667,114.6,10.230000000000018,100,0,2.06,AU,1690727008
19,hasaki,35.7333,140.8333,27.950000000000045,87,1,6.72,JP,1690727008
20,port alfred,-33.5906,26.891,13.990000000000009,67,70,4.02,ZA,1690727009
21,upernavik,72.7868,-56.1549,4.0,86,100,4.1,GL,1690727010
22,caravelas,-17.7125,-39.2481,21.99000000000001,86,100,6.37,BR,1690727010
23,tucuman,-26.8241,-65.2226,19.0,55,0,3.6,AR,1690727010
24,barberton,-25.7884,31.0532,23.05000000000001,12,0,3.77,ZA,1690727011
25,miramar,25.9873,-80.2323,33.34000000000003,79,0,4.12,US,1690727011
26,arraial do cabo,-22.9661,-42.0278,20.980000000000018,77,75,2.06,BR,1690727013
27,albany,42.6001,-73.9662,19.74000000000001,67,0,0.89,US,1690726810
28,brae,60.3964,-1.353,16.400000000000034,73,9,2.08,GB,1690727013
29,yellowknife,62.456,-114.3525,17.29000000000002,88,75,3.6,CA,1690726810
